feature,importance
num__Task_completion,1.3564706176711154
num__Work_time_VS_clock_in_out,-1.218522065912731
num__Break_frequency,1.0716914773883646
num__PTO_usage,-0.9497297801378362
num__After_hours_communication,0.7745186797050155
num__Irregularity,0.6538443433411544
num__Meetings_missed,0.621136211125521
num__Night_work,0.59446244658013
num__Sick_leave_frequency,0.5783098651847665
num__Reopened_tasks,0.5711036646174644
num__Error_bug_rate,0.4969382490990448
num__Backlog_size,0.447526269002022
num__Zombie_logged_in_state,0.3523571839872848
num__Meeting_density,0.3315755495285249
num__Weekend_activity,0.32570571275338484
num__Context_switching,0.3043034562861091
num__Notification_load,0.2635671819306221
num__Reactive_meeting_load,0.23165870402003771
num__Long_days,0.074248526641744
num__Communication_variability,0.016100821620091334
