feature,importance
num__Task_completion,1.3472787329986853
num__Work_time_VS_clock_in_out,-1.2040328476480227
num__Break_frequency,1.064646307837862
num__PTO_usage,-0.9362855977029735
num__After_hours_communication,0.7663467011665139
num__Irregularity,0.6459168446845219
num__Meetings_missed,0.6125439554694294
num__Night_work,0.5858969052188904
num__Sick_leave_frequency,0.5652613415091222
num__Reopened_tasks,0.5621016994447622
num__Error_bug_rate,0.4874815699443145
num__Backlog_size,0.4392627562171169
num__Zombie_logged_in_state,0.3413400357353384
num__Meeting_density,0.32239473389926
num__Weekend_activity,0.31618810690620625
num__Context_switching,0.29697546945018904
num__Notification_load,0.25642450348866735
num__Reactive_meeting_load,0.22409854853399508
num__Long_days,0.0662591269298456
num__Communication_variability,0.007801587245596303
