feature,importance
num__Task_completion,1.3250509263888361
num__Work_time_VS_clock_in_out,-1.1841397878573319
num__Break_frequency,1.0482406223071894
num__PTO_usage,-0.922440218548539
num__After_hours_communication,0.756842070793141
num__Irregularity,0.6371291471255378
num__Meetings_missed,0.6063454436624587
num__Night_work,0.5786660893646935
num__Reopened_tasks,0.5578112976122307
num__Sick_leave_frequency,0.5575960647802722
num__Error_bug_rate,0.48734812379725134
num__Backlog_size,0.43846280275605926
num__Zombie_logged_in_state,0.3415092040308361
num__Meeting_density,0.3240537043469141
num__Weekend_activity,0.3157964396268426
num__Context_switching,0.3019206064171315
num__Notification_load,0.2610723174098194
num__Reactive_meeting_load,0.22889880195630619
num__Long_days,0.07358645129834976
num__Communication_variability,0.01851316714829034
