feature,importance
num__Task_completion,0.1535337196073645
num__Break_frequency,0.09281974968992472
num__Work_time_VS_clock_in_out,0.09208320458338891
num__After_hours_communication,0.08614393459443975
num__Backlog_size,0.07046518259365449
num__PTO_usage,0.057271624264021465
num__Meetings_missed,0.05706497773778197
num__Irregularity,0.05523528184894612
num__Reopened_tasks,0.05432437983317782
num__Communication_variability,0.04192480932470706
num__Night_work,0.04038219369189843
num__Sick_leave_frequency,0.036265423331924763
num__Error_bug_rate,0.02600554225041417
num__Context_switching,0.025040563887530808
num__Zombie_logged_in_state,0.024091025744340508
num__Weekend_activity,0.023919493607555978
num__Notification_load,0.022473177017422408
num__Reactive_meeting_load,0.021799356157845083
num__Meeting_density,0.014319247431266663
num__Long_days,0.004837112802394472
