feature,importance
num__Task_completion,0.10756373959349767
num__Break_frequency,0.07154363894306244
num__Work_time_VS_clock_in_out,0.06821154831393278
num__After_hours_communication,0.06679042306013337
num__Backlog_size,0.06207895106913241
num__PTO_usage,0.055111313373552503
num__Meetings_missed,0.05324554464738922
num__Reopened_tasks,0.05263824949091809
num__Irregularity,0.05027694114818455
num__Night_work,0.04393857184024013
num__Sick_leave_frequency,0.04138124855863583
num__Context_switching,0.04033806935441012
num__Communication_variability,0.03966681363008716
num__Weekend_activity,0.03803483957445575
num__Reactive_meeting_load,0.036849053223628504
num__Error_bug_rate,0.03626911381347867
num__Notification_load,0.036089730318533644
num__Zombie_logged_in_state,0.035901630799781155
num__Long_days,0.03307298766999703
num__Meeting_density,0.030997591576949028
